Run,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_.country_and.or_sea.,Sitegroup,Region,geographic_location_.depth..m.,Site,latitude,longitude,Sample_Name
ERR1742960,Canada,North America,Canada,Quebec sporadic permafrost zone,Pan-Arctic,0,SAS,55.225611,-77.695889,J1 (B4)
ERR1742965,Canada,North America,Canada,Quebec sporadic permafrost zone,Pan-Arctic,0,SAS,55.226417,-77.695722,C5
SRR1515998,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,BGR,56.6,-76.2,BGR_A_Small
SRR1515999,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,BGR,56.6,-76.216,BGR_B_Small
SRR1516000,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,BGR,56.6,-76.215,BGR_C_Small
SRR1516001,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,BGR,56.6,-76.214,BGR_D_Small
SRR1516002,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,BGR,56.6,-76.2141,BGR_F_Small
SRR1516003,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,BGR,56.6,-76.217,BGR_G_Small
SRR1516004,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,BGR,56.6,-76.2166,BGR_H_Small
SRR1516005,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,KWK,56.6,-76.2163,KWK_1_Small
SRR1516006,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,KWK,55.3,-77.5,KWK_11_Small
SRR1516007,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,KWK,55.3,-77.503,KWK_12_Small
SRR1516008,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,KWK,55.3,-77.504,KWK_17_Small
SRR1516009,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,KWK,55.329,-77.503,KWK_19_Small
SRR1516010,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,KWK,55.329,-77.504,KWK_22_Small
SRR1516011,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,KWK,55.332,-77.503,KWK_23_Small
SRR1516012,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,KWK,55.332,-77.502,KWK_33_Small
SRR1516013,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,KWK,55.332,-77.502,KWK_6_Small
SRR1516014,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,KWK,55.332,-77.5021,KWK_7_Small
SRR1516015,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,SAS,55.332,-77.504,SAS_1a_Small
SRR1516016,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,SAS,55.219,-77.708,SAS_1b_Small
SRR1516017,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,SAS,55.219,-77.708,SAS_2b_Small
SRR1516018,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,SAS,55.225,-77.696,SAS_2c_Small
SRR1516019,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,SAS,55.225,-77.695,SAS_1e_Small
SRR1516020,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,SAS,55.218,-77.707,SAS_1h_Small
SRR1516021,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,NAS,55.219,-77.707,NAS_A_Small
SRR1516022,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,NAS,56.923,-76.378,NAS_B_Small
SRR1516023,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,NAS,56.923,-76.379,NAS_C_Small
SRR1516024,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,NAS,56.922,-76.379,NAS_D_Small
SRR1516025,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,NAS,56.923,-76.38,NAS_E_Small
SRR1516026,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,NAS,56.924,-76.377,NAS_F_Small
SRR1516027,Canada,North America,Canada: Kujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,NAS,56.923,-76.379,NAS_G_Small
SRR1516028,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,NAS,56.923,-76.38,NAS_H_Small
SRR1516029,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,NAS,56.924,-76.377,NAS_I_Small
SRR1516030,Canada,North America,Canada: Kuujjuarapik,Quebec sporadic permafrost zone,Pan-Arctic,0.5,BGR,56.923,-76.3772,BGR_E_Small
SRR1661117,Canada,North America,Canada:Kuujjuarapick,Quebec sporadic permafrost zone,Pan-Arctic,0,KWK,55.33,-77.5,KWK_6_Small_Surface
SRR1661122,Canada,North America,Canada:Kuujjuarapick,Quebec sporadic permafrost zone,Pan-Arctic,0,SAS,55.22,-77.69,SAS_2A_Small_Surface
SRR1661124,Canada,North America,Canada:Kuujjuarapick,Quebec sporadic permafrost zone,Pan-Arctic,0,SAS,55.23,-77.7,SAS_2B_Small_Surface
SRR1661126,Canada,North America,Canada:Umiuaq,Quebec sporadic permafrost zone,Pan-Arctic,0,BGR,56.61,-76.22,BGR_2_Small_Surface
SRR1661129,Canada,North America,Canada:Kuujjuarapick,Quebec sporadic permafrost zone,Pan-Arctic,0,KWK,55.33,-77.5,KWK_23_Small_Surface
SRR1661131,Canada,North America,Canada:Kuujjuarapick,Quebec sporadic permafrost zone,Pan-Arctic,0,KWK,55.33,-77.5,KWK_6_Large_Surface
SRR1661132,Canada,North America,Canada:Umiuaq,Quebec sporadic permafrost zone,Pan-Arctic,0,BGR,56.61,-76.21,BGR_1_Large_Surface
SRR1661136,Canada,North America,Canada:Umiuaq,Quebec sporadic permafrost zone,Pan-Arctic,0,BGR,56.61,-76.21,BGR_1_Small_Surface
SRR1661137,Canada,North America,Canada:Kuujjuarapick,Quebec sporadic permafrost zone,Pan-Arctic,0,KWK,55.27,-77.77,KWK_1_Small_Surface
SRR1661139,Canada,North America,Canada:Kuujjuarapick,Quebec sporadic permafrost zone,Pan-Arctic,0,SAS,55.23,-77.7,SAS_2B_Large_Surface
SRR1661141,Canada,North America,Canada:Umiuaq,Quebec sporadic permafrost zone,Pan-Arctic,0,BGR,56.61,-76.22,BGR_2_Large_Surface
SRR1661143,Canada,North America,Canada:Kuujjuarapick,Quebec sporadic permafrost zone,Pan-Arctic,0,KWK,55.33,-77.5,KWK_1_Large_Surface
SRR1661145,Canada,North America,Canada:Kuujjuarapick,Quebec sporadic permafrost zone,Pan-Arctic,0,SAS,55.22,-77.71,SAS_1B_Small_Surface
SRR1661146,Canada,North America,Canada:Umiuaq,Quebec sporadic permafrost zone,Pan-Arctic,0,NAS,56.92,-76.38,NAS_H_Small_Surface
SRR1005844,Canada,North America,Canada: Bylot Island,Bylot Island,Pan-Arctic,0-0.025,BI,73.15,-79.97,Bylot thaw pond water bacteria
SRR1005845,Canada,North America,Canada: Bylot Island,Bylot Island,Pan-Arctic,0-0.025,BI,73.15,-79.97,Bylot thaw pond water bacteria
SRR1005846,Canada,North America,Canada: Bylot Island,Bylot Island,Pan-Arctic,0-0.025,BI,73.15,-79.97,Bylot thaw pond water bacteria
SRR1005847,Canada,North America,Canada: Bylot Island,Bylot Island,Pan-Arctic,0-0.025,BI,73.15,-79.97,Bylot thaw pond water bacteria
SRR965654,Canada,North America,Canada: Bylot Island,Bylot Island,Pan-Arctic,0-0.025,BI,73.15,-79.97,Bylot thaw pond water bacteria
ERR3265536,Greenland,North America,Greenland,Greenland,Pan-Arctic,0.01,GI,67.15,-50.07942,DWP1_Bacteria
ERR3265537,Greenland,North America,Greenland,Greenland,Pan-Arctic,0.01,GI,67.15,-50.07942,DWP2_Bacteria
ERR3265538,Greenland,North America,Greenland,Greenland,Pan-Arctic,0.01,GI,67.15,-50.07942,DWP3_Bacteria
ERR3265554,Greenland,North America,Greenland,Greenland,Pan-Arctic,10,GI,67.13,-50.17968,TLM1_Bacteria
ERR3265555,Greenland,North America,Greenland,Greenland,Pan-Arctic,10,GI,67.13,-50.17968,TLM2_Bacteria
ERR3265556,Greenland,North America,Greenland,Greenland,Pan-Arctic,10,GI,67.13,-50.17968,TLM3_Bacteria
ERR3265557,Greenland,North America,Greenland,Greenland,Pan-Arctic,0.02,GI,67.13,-50.1782,TLU1_Bacteria
ERR3265558,Greenland,North America,Greenland,Greenland,Pan-Arctic,0.02,GI,67.13,-50.1782,TLU2_Bacteria
ERR3265559,Greenland,North America,Greenland,Greenland,Pan-Arctic,0.02,GI,67.13,-50.1782,TLU3_Bacteria
Z1.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,16.47,Z1,37.76445,100.7974611,Z1.H1
Z1.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,23.3,Z1,37.76445,100.7974611,Z1.H2
Z1.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.5,Z1,37.76445,100.7974611,Z1.H3
Z1.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,6.23,Z1,37.76445,100.7974611,Z1.H4
Z10.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,10.83,Z10,35.35496111,93.35838889,Z10.H1
Z10.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,11.9,Z10,35.35496111,93.35838889,Z10.H2
Z10.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,9.3,Z10,35.35496111,93.35838889,Z10.H3
Z10.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,14.93,Z10,35.35496111,93.35838889,Z10.H4
Z11.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,27.37,Z11,35.20536667,93.10117778,Z11.H1
Z11.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,21.67,Z11,35.20536667,93.10117778,Z11.H2
Z11.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,29.43,Z11,35.20536667,93.10117778,Z11.H3
Z11.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,32.5,Z11,35.20536667,93.10117778,Z11.H4
Z12.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,29.5,Z12,35.10845278,93.03587778,Z12.H1
Z12.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,26.1,Z12,35.10845278,93.03587778,Z12.H2
Z12.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,48.4,Z12,35.10845278,93.03587778,Z12.H3
Z12.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,47.7,Z12,35.10845278,93.03587778,Z12.H4
Z13.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,122,Z13,34.98304722,92.99610833,Z13.H1
Z13.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,9.87,Z13,34.98304722,92.99610833,Z13.H2
Z13.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,13.2,Z13,34.98304722,92.99610833,Z13.H3
Z13.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.57,Z13,34.98304722,92.99610833,Z13.H4
Z14.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,14.3,Z14,34.89500556,92.94111389,Z14.H1
Z14.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,16.4,Z14,34.89500556,92.94111389,Z14.H2
Z14.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,21.27,Z14,34.89500556,92.94111389,Z14.H3
Z14.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,36.27,Z14,34.89500556,92.94111389,Z14.H4
Z15.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,44.73,Z15,34.82599444,92.94858333,Z15.H1
Z15.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,35.57,Z15,34.82599444,92.94858333,Z15.H2
Z15.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,19,Z15,34.82599444,92.94858333,Z15.H3
Z15.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,25.47,Z15,34.82599444,92.94858333,Z15.H4
Z15.H5,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,17.33,Z15,34.82599444,92.94858333,Z15.H5
Z16.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,10.4,Z16,34.4648,92.72076944,Z16.H1
Z16.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,31.3,Z16,34.4648,92.72076944,Z16.H2
Z16.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,16.47,Z16,34.4648,92.72076944,Z16.H3
Z16.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,23.4,Z16,34.4648,92.72076944,Z16.H4
Z17.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.17,Z17,34.38382222,92.82587778,Z17.H1
Z17.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,16.3,Z17,34.38382222,92.82587778,Z17.H2
Z17.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,25.4,Z17,34.38382222,92.82587778,Z17.H3
Z17.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,78.17,Z17,34.38382222,92.82587778,Z17.H4
Z18.H1,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,33.23,Z18,34.29016389,92.99989167,Z18.H1
Z18.H2,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,30.93,Z18,34.29016389,92.99989167,Z18.H2
Z18.H3,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,15.23,Z18,34.29016389,92.99989167,Z18.H3
Z18.H4,China,Asia,Tibet,Tibet Plateau,Tibet Plateau,13.07,Z18,34.29016389,92.99989167,Z18.H4
