	Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU
OTU1149	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	uncultured	uncultured		OTU1149
OTU1150	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group		OTU1150
OTU1151	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	uncultured_actinobacterium	OTU1151
OTU1152	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group		OTU1152
OTU1153	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured		OTU1153
OTU1154	Bacteria	Actinobacteriota	Acidimicrobiia	uncultured	uncultured	uncultured	uncultured_Banisveld	OTU1154
OTU1155	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group		OTU1155
OTU1156	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	CL500-29_marine_group		OTU1156
OTU1157	Bacteria	Chloroflexi	SL56_marine_group	SL56_marine_group	SL56_marine_group	SL56_marine_group		OTU1157
OTU1158	Bacteria	Chloroflexi	SL56_marine_group	SL56_marine_group	SL56_marine_group	SL56_marine_group		OTU1158
OTU1159	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	uncultured_prokaryote	OTU1159
OTU1160	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured_Gemmatimonadales	OTU1160
OTU1161	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured		OTU1161
OTU1162	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	cvE6	uncultured_bacterium	OTU1162
OTU1163	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	uncultured	uncultured_Holophagaceae	OTU1163
OTU1164	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	freshwater_metagenome	OTU1164
OTU1165	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales		OTU1165
OTU1166	Archaea	Crenarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosopumilus		OTU1166
OTU1167	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus		OTU1167
OTU1168	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus		OTU1168
OTU1169	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin516	uncultured_bacterium	OTU1169
OTU1170	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin516	uncultured_bacterium	OTU1170
OTU1171	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11	uncultured_bacterium	OTU1171
OTU1172	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae			OTU1172
OTU1173	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11	uncultured_Verrucomicrobia	OTU1173
OTU1174	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11		OTU1174
OTU1175	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11		OTU1175
OTU1176	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	uncultured		OTU1176
OTU1177	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	uncultured	Chlorophyta_symbiont	OTU1177
OTU1178	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	uncultured	Chlorophyta_symbiont	OTU1178
OTU1179	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured_bacterium	OTU1179
OTU1180	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	uncultured_bacterium	OTU1180
