	Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU
OTU6567	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		OTU6567
OTU6568	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		OTU6568
OTU6569	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_soil	OTU6569
OTU6570	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	uncultured_Planctomycetales	OTU6570
OTU6571	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage		OTU6571
OTU6572	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	metagenome	OTU6572
OTU6573	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	metagenome	OTU6573
OTU6574	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	metagenome	OTU6574
OTU6575	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	metagenome	OTU6575
OTU6576	Bacteria	Planctomycetota	Phycisphaerae	mle1-8	mle1-8	mle1-8	uncultured_bacterium	OTU6576
OTU6577	Bacteria	Planctomycetota	Phycisphaerae	CCM11a	CCM11a	CCM11a	groundwater_metagenome	OTU6577
OTU6578	Bacteria	Planctomycetota	Phycisphaerae	CCM11a	CCM11a	CCM11a	uncultured_Planctomycetaceae	OTU6578
OTU6579	Bacteria	Planctomycetota	Phycisphaerae	Pla1_lineage	Pla1_lineage	Pla1_lineage	uncultured_bacterium	OTU6579
OTU6580	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	KCLunmb-38-53	KCLunmb-38-53	uncultured_bacterium	OTU6580
OTU6581	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	KCLunmb-38-53	KCLunmb-38-53	uncultured_bacterium	OTU6581
OTU6582	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SM23-30	SM23-30	uncultured_planctomycete	OTU6582
OTU6583	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190		OTU6583
OTU6584	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	uncultured_bacterium	OTU6584
OTU6585	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02		OTU6585
OTU6586	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	AKYG587	uncultured_bacterium	OTU6586
OTU6587	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	AKYG587	uncultured_Planctomycetales	OTU6587
OTU6588	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	AKYG587		OTU6588
OTU6589	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	uncultured_Crater	OTU6589
OTU6590	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	uncultured_bacterium	OTU6590
OTU6591	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	uncultured_bacterium	OTU6591
OTU6592	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	metagenome	OTU6592
OTU6593	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	uncultured		OTU6593
OTU6594	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	uncultured		OTU6594
OTU6595	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaera	uncultured_bacterium	OTU6595
OTU6596	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaera	uncultured_bacterium	OTU6596
OTU6597	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaerales	Tepidisphaerales	uncultured_Planctomycetales	OTU6597
OTU6598	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6598
OTU6599	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6599
OTU6600	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6600
OTU6601	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6601
OTU6602	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	OTU6602
OTU6603	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	OTU6603
OTU6604	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium	OTU6604
OTU6605	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6605
OTU6606	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaeraceae		OTU6606
OTU6607	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium	OTU6607
OTU6608	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6608
OTU6609	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_planctomycete	OTU6609
OTU6610	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium	OTU6610
OTU6611	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6611
OTU6612	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6612
OTU6613	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6613
OTU6614	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium	OTU6614
OTU6615	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6615
OTU6616	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6616
OTU6617	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6617
OTU6618	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6618
OTU6619	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6619
OTU6620	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6620
OTU6621	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium	OTU6621
OTU6622	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium	OTU6622
OTU6623	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium	OTU6623
OTU6624	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium	OTU6624
OTU6625	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium	OTU6625
OTU6626	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6626
OTU6627	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group		OTU6627
OTU6628	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6628
OTU6629	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira_bacterium	OTU6629
OTU6630	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6630
OTU6631	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira_japonica	OTU6631
OTU6632	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6632
OTU6633	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6633
OTU6634	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6634
OTU6635	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6635
OTU6636	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6636
OTU6637	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6637
OTU6638	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6638
OTU6639	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6639
OTU6640	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6640
OTU6641	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6641
OTU6642	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira		OTU6642
OTU6643	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured_Green	OTU6643
OTU6644	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured_Green	OTU6644
OTU6645	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured		OTU6645
OTU6646	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured	uncultured_Nitrospirae	OTU6646
OTU6647	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured	uncultured_prokaryote	OTU6647
OTU6648	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured		OTU6648
OTU6649	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured		OTU6649
OTU6650	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured		OTU6650
OTU6651	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured		OTU6651
OTU6652	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured	uncultured_Sphingobacteriales	OTU6652
OTU6653	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured		OTU6653
OTU6654	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured	uncultured_Sphingobacteriales	OTU6654
OTU6655	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured		OTU6655
OTU6656	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured		OTU6656
OTU6657	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured	uncultured_bacterium	OTU6657
OTU6658	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured	uncultured_bacterium	OTU6658
OTU6659	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured		OTU6659
OTU6660	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured		OTU6660
OTU6661	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured		OTU6661
OTU6662	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured		OTU6662
OTU6663	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured	uncultured	uncultured_bacterium	OTU6663
OTU6664	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	uncultured_prokaryote	OTU6664
OTU6665	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	uncultured_verrucomicrobium	OTU6665
OTU6666	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	uncultured_verrucomicrobium	OTU6666
OTU6667	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	uncultured_bacterium	OTU6667
OTU6668	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	uncultured_bacterium	OTU6668
OTU6669	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41		OTU6669
OTU6670	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41		OTU6670
OTU6671	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41		OTU6671
OTU6672	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	uncultured_Verrucomicrobia	OTU6672
OTU6673	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41		OTU6673
OTU6674	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	uncultured	candidate_division	OTU6674
OTU6675	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	uncultured	metagenome	OTU6675
OTU6676	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae			OTU6676
OTU6677	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	bacterium_enrichment	OTU6677
OTU6678	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	DEV008	uncultured_bacterium	OTU6678
OTU6679	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured		OTU6679
OTU6680	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured		OTU6680
OTU6681	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured		OTU6681
OTU6682	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured		OTU6682
OTU6683	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured		OTU6683
OTU6684	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured		OTU6684
OTU6685	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured		OTU6685
OTU6686	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	uncultured_verrucomicrobium	OTU6686
OTU6687	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin516		OTU6687
OTU6688	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin516	uncultured_bacterium	OTU6688
OTU6689	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae			OTU6689
OTU6690	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae		OTU6690
OTU6691	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae		OTU6691
OTU6692	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae			OTU6692
OTU6693	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	DEV008	uncultured_Verrucomicrobia	OTU6693
OTU6694	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	uncultured_Prosthecobacter	OTU6694
OTU6695	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae		OTU6695
OTU6696	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae		OTU6696
OTU6697	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae		OTU6697
OTU6698	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin517		OTU6698
OTU6699	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin517	uncultured_Verrucomicrobia	OTU6699
OTU6700	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin517		OTU6700
OTU6701	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae		OTU6701
OTU6702	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae	uncultured_soil	OTU6702
OTU6703	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae		OTU6703
OTU6704	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae		OTU6704
OTU6705	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae		OTU6705
OTU6706	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaera	uncultured_bacterium	OTU6706
OTU6707	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaera	Pedosphaera_parvula	OTU6707
OTU6708	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaera	metagenome	OTU6708
OTU6709	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae		OTU6709
OTU6710	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11		OTU6710
OTU6711	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SCGC_AAA164-E04	uncultured_bacterium	OTU6711
OTU6712	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	DEV114	metagenome	OTU6712
OTU6713	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11	uncultured_Verrucomicrobia	OTU6713
OTU6714	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11		OTU6714
OTU6715	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11		OTU6715
OTU6716	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11	uncultured_verrucomicrobium	OTU6716
OTU6717	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	SH3-11	metagenome	OTU6717
OTU6718	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	DEV114		OTU6718
OTU6719	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae			OTU6719
OTU6720	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	uncultured_Verrucomicrobia	OTU6720
OTU6721	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae			OTU6721
OTU6722	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6722
OTU6723	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6723
OTU6724	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6724
OTU6725	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6725
OTU6726	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae			OTU6726
OTU6727	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae		OTU6727
OTU6728	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae			OTU6728
OTU6729	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6729
OTU6730	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6730
OTU6731	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6731
OTU6732	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6732
OTU6733	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6733
OTU6734	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6734
OTU6735	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6735
OTU6736	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	uncultured		OTU6736
OTU6737	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6737
OTU6738	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6738
OTU6739	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6739
OTU6740	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1		OTU6740
OTU6741	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae			OTU6741
OTU6742	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	RS25G	metagenome	OTU6742
OTU6743	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae			OTU6743
OTU6744	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Oikopleura		OTU6744
OTU6745	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Oikopleura	metagenome	OTU6745
OTU6746	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Oikopleura		OTU6746
OTU6747	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Oikopleura	metagenome	OTU6747
OTU6748	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Oikopleura	metagenome	OTU6748
OTU6749	Bacteria	Verrucomicrobiota	Verrucomicrobiae	S-BQ2-57_soil_group	S-BQ2-57_soil_group	S-BQ2-57_soil_group	uncultured_bacterium	OTU6749
OTU6750	Bacteria	Verrucomicrobiota	Verrucomicrobiae	S-BQ2-57_soil_group	S-BQ2-57_soil_group	S-BQ2-57_soil_group	uncultured_bacterium	OTU6750
OTU6751	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured	uncultured_Verrucomicrobia	OTU6751
OTU6752	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured	uncultured_Verrucomicrobia	OTU6752
OTU6753	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured	uncultured_bacterium	OTU6753
OTU6754	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured		OTU6754
OTU6755	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured	uncultured_soil	OTU6755
OTU6756	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured	uncultured_soil	OTU6756
OTU6757	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritaleaceae	uncultured_bacterium	OTU6757
OTU6758	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured		OTU6758
OTU6759	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured	metagenome	OTU6759
OTU6760	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	uncultured	uncultured_verrucomicrobium	OTU6760
OTU6761	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium		OTU6761
OTU6762	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	uncultured_bacterium	OTU6762
OTU6763	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	Verrucomicrobium_spinosum	OTU6763
OTU6764	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseimicrobium	uncultured_Verrucomicrobia	OTU6764
OTU6765	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseimicrobium	Roseimicrobium_gellanilyticum	OTU6765
OTU6766	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseimicrobium	Roseimicrobium_gellanilyticum	OTU6766
OTU6767	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseimicrobium	uncultured_Verrucomicrobiaceae	OTU6767
OTU6768	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium	Verrucomicrobiaceae_bacterium	OTU6768
