	geo_loc_name_country	geo_loc_name_country_continent	geographic_location_.country_and.or_sea.	Sitegroup	Region	Site	Sitegroup1	geographic location depth (cm)	latitude	longitude	Sample_Name	DOC	SUVA254	a320	MAP	MAT	pH
SRR1516008	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	KWK	Quebec sporadic permafrost zone	50	55.329	-77.503	KWK_17_Small	10	5.48		641	-3.72	6
SRR1516009	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	KWK	Quebec sporadic permafrost zone	50	55.329	-77.504	KWK_19_Small	11.2	5.5		641	-3.71	5.8
SRR1516010	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	KWK	Quebec sporadic permafrost zone	50	55.332	-77.503	KWK_22_Small	11.3	6.96		641	-3.71	6.2
SRR1516011	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	KWK	Quebec sporadic permafrost zone	50	55.332	-77.502	KWK_23_Small	7.8			641	-3.71	6.44
SRR1516012	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	KWK	Quebec sporadic permafrost zone	50	55.332	-77.502	KWK_33_Small	13.4	5.78		641	-3.71	6.3
SRR1516013	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	KWK	Quebec sporadic permafrost zone	50	55.332	-77.5021	KWK_6_Small	5.2	2.36		641	-3.71	6.4
SRR1516014	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	KWK	Quebec sporadic permafrost zone	50	55.332	-77.504	KWK_7_Small	10.3	6.54		641	-3.71	6.4
SRR1516015	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	50	55.219	-77.708	SAS_1a_Small	9.9	6.46		641	-3.71	6.4
SRR1516016	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	50	55.219	-77.708	SAS_1b_Small	15.5	6.47		644	-3.74	6
SRR1516017	Canada	North America	Canada: Kuujjuarapik	Quebec sporadic permafrost zone	Pan-Arctic	SAS	Quebec sporadic permafrost zone	50	55.225	-77.696	SAS_2b_Small	17.4	6.03		644	-3.74	5.8
